Артикул,01.06.2020,01.07.2020,01.08.2020,01.09.2020,01.10.2020,01.11.2020,01.12.2020,01.01.2021,01.02.2021,01.03.2021,01.04.2021,01.05.2021,01.06.2021,01.07.2021,01.08.2021,01.09.2021,01.10.2021,01.11.2021,01.12.2021,01.01.2022,01.02.2022,01.03.2022,01.04.2022,01.05.2022,01.06.2022,01.07.2022,01.08.2022,01.09.2022,01.10.2022,01.11.2022,01.12.2022,01.01.2023,01.02.2023,01.03.2023,01.04.2023,01.05.2023,01.06.2023,01.07.2023,01.08.2023
3117,2,3,3,6,1,3,4,3,6,4,,,3,,5,5,1,2,3,4,3,2,1,1,4,1,3,7,4,3,10,,5,6,1,6,4,2,
3118,1,3,3,4,3,4,4,2,,2,3,5,2,1,1,4,3,1,4,4,4,2,4,2,3,,,1,2,5,8,,3,1,,1,2,1,1
3119,1,3,3,4,3,4,4,2,,2,2,5,2,1,1,4,3,1,4,4,4,2,5,2,3,,1,1,2,5,8,,3,2,1,1,4,3,
3120,2,3,2,6,4,1,4,,,1,3,1,4,1,1,2,3,4,3,4,6,5,1,1,,1,6,2,3,2,5,4,12,8,,4,3,3,2
3121,3,3,3,13,7,3,6,,,,3,,1,,,3,2,3,3,,15,12,,,3,,12,3,9,,3,6,9,6,3,3,6,6,1
3122,1,1,,3,1,1,1,,,1,1,1,,,1,1,1,,1,,2,1,,,,,1,2,,,1,1,1,1,,1,3,2,
3123,1,,,,,,,1,1,,1,,,,1,4,,,1,1,,,2,,,,1,1,1,,,1,,1,,1,1,1,
3124,,1,,1,,,3,,,3,,2,,2,,,1,,,2,1,1,,,,2,,,,2,,,,2,,,2,,
3125,10,4,7,12,12,12,14,13,42,36,10,13,7,6,6,8,10,12,17,19,26,24,11,3,6,,11,20,17,4,16,27,36,35,8,11,2,3,13
3126,2,,1,,,2,,2,12,12,,2,12,,,,,,,,12,,12,,1,,,9,3,,,,2,12,,2,,1,
3127,,,,,,,,1,1,,,1,,,,4,,,,1,1,,,,4,,1,,,,,,,1,3,,5,,
3128,2,3,3,6,4,4,7,4,6,12,5,1,3,5,5,3,8,8,7,11,4,,4,1,2,1,6,5,3,1,6,3,6,6,4,2,7,5,2
3129,,,2,,,2,,10,2,6,4,,,2,2,,2,,4,5,4,11,2,,2,5,2,6,4,5,,2,6,7,2,4,,1,4
3130,1,,,,1,3,1,3,1,2,2,1,1,1,1,3,1,1,3,4,3,,1,,1,,1,1,2,1,,3,4,2,,,,1,2
3131,,4,4,,,7,4,8,4,16,4,2,,,4,,,,4,8,8,,4,,,,,,4,,2,3,4,13,,,4,4,
3132,20,,31,10,3,10,4,23,76,14,8,7,3,20,,10,13,1,,104,11,23,9,,,5,,20,10,,,3,62,5,2,20,,,10
3133,,20,,23,,19,,,,5,2,,40,36,,28,16,,2,,7,15,,,3,,10,,,,,11,,2,4,40,-6,10,40
3134,3,2,4,1,,10,4,10,7,15,,,2,,5,3,,2,4,4,6,8,2,,,,,1,5,5,1,4,9,7,,,5,,3
3135,7,2,3,1,,9,5,12,6,15,,,2,,5,3,,5,5,5,13,6,2,,,,,2,5,7,1,5,7,11,,,1,,2
3136,7,2,4,1,,13,5,9,9,15,,,2,,5,3,,1,2,4,9,11,2,,,,,1,5,1,1,4,9,11,,,5,,3
3137,,2,1,1,1,,,3,1,2,1,1,1,1,1,1,1,1,,3,,2,1,,1,,3,,1,1,,,3,2,3,1,2,1,3
3138,3,,8,9,,22,33,43,71,41,11,,4,3,2,3,14,5,35,53,51,12,16,3,2,5,,8,7,4,8,82,46,36,13,2,10,6,5
3139,1,,,,1,1,,2,,1,,1,,,,2,,,,,,1,1,1,,,,,,,,,2,1,,1,,1,
3140,1,2,1,4,4,20,8,5,5,1,2,2,,,,4,4,24,10,4,8,1,,2,,3,2,3,2,5,5,6,8,5,,4,4,2,3
3141,,,,,,,,8,,,,4,,,,,,,3,-1,1,1,1,,,,,,,1,,,4,,,4,4,,
3142,1,5,2,1,2,1,1,3,2,3,1,4,2,2,2,3,1,3,5,8,1,3,2,,2,1,5,2,1,,1,5,6,6,5,4,2,1,2
3143,7,16,10,17,8,20,23,15,15,15,13,13,6,8,6,8,6,12,12,33,24,19,13,8,5,8,7,12,7,15,11,15,16,32,7,7,12,10,10
3144,,4,3,,6,3,5,16,4,8,,,3,,,,,4,8,4,,6,3,,4,,,11,10,,,,,3,,3,,,3
3145,4,24,18,24,5,48,56,96,80,84,32,20,1,24,18,16,4,8,62,70,119,68,12,4,7,10,18,12,42,8,20,96,135,103,64,24,36,18,
3146,2,5,5,7,2,5,3,1,1,6,4,5,1,4,3,3,4,4,5,9,5,5,3,2,4,1,3,4,4,10,4,1,6,9,1,3,1,3,1
3147,1,2,8,4,2,6,2,,,,,5,2,5,3,2,,,,4,,,,1,5,6,1,1,1,,1,1,2,4,2,3,3,2,5
3148,7,2,2,1,1,12,12,6,11,6,,,1,1,5,3,,2,8,6,14,10,3,,,,1,2,5,1,4,5,8,5,,,4,,3
3149,7,2,2,1,1,12,8,6,12,7,,,1,1,5,3,,2,9,6,14,10,2,,,,1,2,5,1,8,6,8,9,,,8,,3
3150,2,2,3,1,,7,5,12,6,15,,,2,,5,3,,5,5,5,13,7,1,,,,,2,5,1,1,4,4,7,,,1,,
3151,7,2,2,1,1,15,7,6,11,9,,,1,1,5,3,,2,8,6,14,11,2,,,,1,3,5,1,4,6,8,6,,,8,,1
3152,,8,5,,,9,2,8,4,4,,3,1,,2,,,2,,8,21,4,,,,,,2,,,,,7,2,,,,,
3153,7,2,5,1,1,12,5,13,7,15,,3,2,1,4,3,,4,8,8,18,10,2,,,,1,2,15,1,,5,13,11,,,4,,
3154,4,8,,2,4,4,16,2,12,11,4,10,2,2,4,8,10,6,16,26,18,12,12,2,,4,4,2,2,4,2,13,16,16,6,,,2,
3155,3,6,6,6,,,18,9,4,6,,,9,3,9,10,9,18,24,18,,,9,3,,,,9,,,,1,14,3,,,12,3,3
3156,,,,,,1,,,,,,1,1,,,,,1,,3,2,1,,1,,,,,,,,,1,3,,,,2,1
3157,16,,,,,,3,,16,6,,,,,,,17,,39,25,7,16,32,1,,4,3,,,,,42,6,33,,,,16,
3158,,,,,,,6,6,,,,7,,,,,,,,6,12,1,6,,,,,,,,5,,,10,,13,2,4,
3159,,,,6,,12,12,,,6,,6,6,6,6,,6,,6,,36,12,12,,,6,2,,,,,,,6,6,,,,
3160,,24,,4,,,20,,,8,,,,,,,,,,16,,,,,,,,,,,,24,7,,,8,8,,
3161,,,,,4,,1,,,3,,,5,,,,1,,,2,2,,1,,,5,2,-2,2,,,1,2,3,,,2,,
3162,1,,,,,,,,3,1,2,2,1,1,2,1,2,2,1,1,,1,,1,1,,,,,2,1,4,2,6,,3,,2,
3163,4,,,3,,3,,3,,9,,3,12,,3,6,,,,3,9,3,3,,,,,,,,,,12,3,,9,,3,
3164,,2,3,,3,1,,1,,1,1,3,1,3,3,4,1,5,2,1,1,,,,,,5,,,,,3,5,,,1,5,,
3165,1,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,,1,,4,,,,,,1,1,
3166,,,,1,1,,1,,,1,1,3,1,1,,2,,1,2,4,,11,,,1,3,2,,1,1,,,4,,4,1,,,3
3167,,,,,,12,6,8,,,7,,,,6,,,,,,,,6,,6,,,,,3,3,,,,,,6,,
3168,1,6,2,1,,2,11,4,6,2,4,,6,,4,,,2,9,12,6,2,4,,2,3,1,8,4,2,2,2,8,6,2,7,4,2,2
3169,2,3,3,6,4,4,6,4,8,12,5,1,3,5,5,4,8,6,7,10,4,,3,1,2,4,4,5,3,1,4,3,5,4,4,1,5,3,2
3170,6,,,9,3,1,1,,,3,,3,,3,,3,3,3,6,2,3,,,3,3,,2,,,,8,3,,4,1,,12,,
3171,3,3,,9,6,,3,,,,3,6,3,,,3,,3,3,3,9,3,,3,,,9,,3,,3,3,3,9,,,3,3,6
3172,,4,,2,4,,6,2,4,2,2,4,,2,2,4,4,2,4,6,4,3,6,2,,2,2,,2,,,,2,8,4,,,,1
3173,1,2,7,3,,3,2,,1,,,3,,2,,1,1,7,,3,3,1,,1,1,,1,,,,3,1,2,14,,,3,2,
3174,,,,,,2,1,1,,3,2,,1,,,,,,2,,3,,,,,,,1,,,,,5,,,,,,
3175,,3,3,6,3,14,14,,3,9,,11,,3,,3,4,3,12,3,13,3,4,,,6,,,,6,,3,7,5,,,6,,
3176,,4,4,8,4,17,15,,3,12,,12,,4,,5,5,4,13,4,12,4,4,,,8,,,,8,,4,8,5,,,6,,
3177,,6,6,12,6,21,18,,3,18,,14,,6,,6,4,6,15,6,18,6,6,,,8,,,,12,,6,10,9,,,14,,
3178,,3,1,3,4,1,1,5,4,5,3,2,4,1,2,3,3,3,3,9,4,1,3,6,2,,2,1,2,2,,2,3,5,4,5,1,2,2
3179,,,,,1,,2,2,,4,,,1,,1,,,,1,1,1,,,,,1,,1,3,,,,,1,,2,1,,
3180,1,,,2,,2,1,1,2,3,,,,,,,,,,3,1,1,,,,,,1,1,,,,3,1,,,,1,1
3181,4,,,2,4,1,5,9,6,9,3,2,3,,,2,1,1,5,7,6,3,3,5,2,4,,,,3,2,5,4,9,3,3,4,2,1
3182,3,2,,2,2,1,3,3,2,2,4,4,1,1,2,1,1,2,2,5,3,3,3,1,3,2,2,2,2,4,2,2,,2,2,4,,,
3183,9,7,6,6,3,6,8,7,10,20,8,3,6,4,5,11,3,5,14,12,20,9,5,7,8,8,4,6,4,5,9,4,14,17,3,9,7,5,4
3184,,,1,13,3,,,8,,,12,3,12,,,2,12,,,1,,12,1,,,,3,,,1,,,14,18,,5,3,,
3185,2,,,2,4,2,,,,,2,,,,,,,,,2,2,4,,,,2,2,,,,,4,4,,,,,,
3186,,1,,1,,,2,1,,3,,1,1,1,3,,2,,2,,3,,3,,,2,1,1,3,,1,1,1,2,1,,1,1,
3187,,12,12,24,,12,24,12,,36,,12,12,,,12,12,12,12,12,60,24,24,,24,,,12,48,,,,60,32,,,24,6,
3188,1,,1,1,,,,,,,,,,,,,1,,1,,1,1,,,,,,1,,,,2,1,1,,,1,,
3189,1,,1,2,,,1,,1,,,,,,,,1,,1,,2,1,1,,,,1,,,,,2,,1,,1,,,
3190,1,,,2,,2,3,5,,1,1,2,3,,3,,,,1,1,1,2,2,,1,2,3,1,4,1,,4,11,8,3,1,2,1,
3191,6,4,,,,,,,2,,1,,1,,,,1,,2,4,2,1,,,1,5,,,4,,,,,2,,3,2,,1
3192,,,2,2,,6,12,4,2,4,4,6,,,2,2,,10,10,8,8,7,2,,,,,6,4,3,,7,4,10,2,,2,,
3193,,,1,,,8,1,1,,,,,,,1,1,,,,,4,1,1,,,,,,,,,3,1,1,,,,,2
3194,6,2,4,1,1,15,9,15,7,12,,,2,1,8,,,4,3,6,17,2,2,,,,1,1,5,1,5,6,6,7,,,8,,2
3195,8,4,6,12,8,12,13,4,8,2,4,6,12,2,2,8,10,17,10,14,8,8,,2,2,4,16,8,8,4,9,9,27,20,2,9,6,10,8
3196,12,,,,,6,6,,,,6,,12,,,24,,,6,6,12,,19,,12,,12,,,,,6,14,12,,12,18,12,
3197,,,,,,,,2,3,1,1,,1,,,,,,,6,1,2,,,,,3,1,,1,,,1,,,,,,1
3198,6,14,11,10,10,16,15,13,20,12,12,4,7,2,12,8,8,13,12,23,12,16,5,3,5,9,13,16,11,10,8,9,19,19,6,16,7,3,3
3199,,,,,,12,12,21,,,,,,,,,,,,,,28,,,,,12,,,,,,,34,,6,,,8
3200,7,10,5,2,1,2,1,5,6,10,4,3,6,6,5,6,4,4,3,4,7,5,8,9,8,1,5,3,4,5,3,3,1,11,2,6,1,3,7
3201,1,1,,,,,,,,,1,,,,,3,,1,1,,2,,1,1,,,,1,,,,1,,2,,,,,
3202,1,,,1,1,2,4,5,1,1,2,,2,1,1,3,3,2,2,2,4,,3,1,2,1,1,1,1,,2,2,2,1,,8,1,,6
3203,2,2,,3,,2,4,2,10,3,2,,,,2,,,2,5,18,,5,2,2,2,2,1,,4,,6,5,8,3,,14,5,,4
3204,1,,,1,2,2,1,3,2,5,1,2,,1,1,2,1,1,3,3,3,2,1,2,1,,1,,,,2,,5,3,,,1,4,2
3205,2,,,,1,,,,1,3,1,,,,2,2,,,,1,,,1,,,,,,,2,,,1,2,,1,,,1
3206,,,,1,,,,,,3,,2,,1,,,,,,1,1,2,,,,1,,,,1,,,,2,,,2,,
3207,2,1,,1,1,1,2,1,,1,,2,3,2,,1,1,,1,1,7,2,3,,2,,,,,2,,,1,2,1,1,7,,
3208,15,7,1,6,4,8,14,13,15,19,18,8,17,12,12,12,10,8,9,23,23,11,13,8,11,4,6,6,7,9,8,8,12,22,8,9,10,6,5
3209,3,,,3,,,3,3,3,,,3,,,3,3,,,6,3,6,,3,,,,,3,3,2,,3,2,6,,6,,5,
3210,,,,1,,,,,,1,,,,,,1,,3,,1,,1,,,,3,,,,1,,1,,,,1,,2,
3211,2,5,6,7,1,8,4,2,1,6,6,4,2,1,1,5,5,3,3,9,4,3,8,2,4,,2,2,7,11,5,,6,7,1,4,2,4,10
3212,2,5,6,7,1,8,3,2,1,6,7,5,1,3,1,5,5,3,4,10,5,3,6,3,5,,1,2,5,12,4,,9,5,1,3,6,3,3
3213,2,5,5,4,4,4,3,2,1,4,4,4,1,1,1,4,2,2,7,7,4,3,5,1,3,,1,3,5,7,4,1,6,4,1,3,4,2,3
3214,2,5,5,4,4,4,3,2,1,4,4,5,1,2,1,4,2,2,7,7,4,3,4,1,4,,1,3,4,7,4,,5,4,1,3,4,2,3
3215,1,,1,,1,2,1,,,1,1,2,,4,,3,,1,3,3,2,,1,,,,1,,2,,,1,4,4,,,2,,
3216,,,,,,,,1,3,,,,,,,,,,,,2,1,,,,,,,1,1,1,,,1,,,1,,
3217,,,,,1,,,1,3,,,,,,,,,,,,2,1,,,,,,,1,1,1,,,,,,1,,
3218,3,,,,2,3,1,3,1,1,3,2,1,1,1,5,2,1,3,3,4,,1,1,2,,1,1,,1,,4,7,3,,1,,2,2
3219,12,6,,,,6,6,,,,6,,12,,,6,,,,6,18,6,13,,12,,12,,,6,6,28,14,12,,7,,6,
3220,,,3,,6,,,9,,,,,,,,,,6,,,9,6,,6,,,,,,,2,6,,11,,,,3,
3221,,132,251,,105,,303,561,132,264,528,,,264,,,,330,1188,464,332,464,,198,132,,132,264,99,211,,198,396,1221,,198,,102,33
3222,,,3,3,3,,,17,4,4,8,,,,,,,7,12,10,6,4,4,6,4,,4,8,3,3,,6,4,20,,4,16,16,1
3223,,,,,,1,1,2,,,,,1,,,,,1,1,1,2,,1,,,,,,,2,,,2,1,1,1,2,,
3224,,1,,1,,1,1,,1,1,1,,,1,,1,,1,1,,2,,1,,3,,,,,,1,1,,3,,2,2,,1
3225,,,,2,,1,1,1,,3,,1,,,,,1,,,1,1,,,,1,3,,1,2,,,,1,3,1,2,,,
3226,,,3,4,,5,13,17,25,20,8,,2,1,1,1,3,4,12,16,18,7,5,1,1,3,,2,2,1,3,21,19,12,5,1,4,1,2
3227,,,,,,8,,,8,,16,,16,,,,,,8,8,,,16,,8,,,,,8,,,,8,,8,16,8,
3228,,,,,,7,,7,7,,14,,14,,,,,,7,7,,,16,,7,,,,,7,,,,7,,7,14,7,
3229,,1,,,,,1,,2,1,1,,2,,,1,,,2,2,1,2,1,,,,,3,,1,,2,2,1,,,,1,
3230,1,,,,,1,,1,,1,,1,1,,1,,1,,1,2,1,,,,,,,,,,1,,2,5,,,,,2
3231,1,,2,1,,,,3,1,,2,,,,,,,,,,3,2,,,,,,,,1,,,7,,,,,,
3232,,3,,,,,,,,,,,,1,3,,,9,,,,,6,,,,,3,,,,,3,3,,,6,,
3233,11,12,2,1,2,4,6,,3,5,3,8,9,5,2,3,2,,3,6,16,2,8,1,3,3,5,1,4,1,1,6,9,6,2,4,2,4,4
3234,14,4,1,4,,,,2,4,,4,14,14,18,10,7,2,,,4,4,,,4,6,12,4,,,,2,2,,7,,8,17,14,4
3235,4,4,4,2,,,,,,,2,2,,,2,2,,2,,,,,,,,,,,6,4,,,2,,,,,,
3236,1,1,,,1,,1,,,1,1,,,,,,,1,2,,11,,,4,1,,1,,,,,2,9,8,,,,,3
3237,4,9,9,9,4,11,15,17,14,11,7,7,6,2,8,8,4,6,11,30,22,11,4,4,2,4,12,10,9,3,8,8,22,21,8,11,12,5,7
3238,1,2,1,,,,1,1,,,,,,1,,1,2,,,2,1,,,2,1,,1,1,,2,2,1,,1,1,,6,2,
3239,26,14,26,26,34,31,36,33,41,52,36,44,15,21,31,26,29,28,49,62,67,32,47,21,12,21,17,13,35,26,22,36,51,44,56,14,23,9,20
3240,1,,1,,,1,3,,1,,,,,,,,,,,1,2,,,,1,,,1,,1,,,,,1,1,,,
3241,6,,6,,4,8,,14,,12,6,,6,,,6,,,4,10,19,,1,6,,,,12,12,4,,6,24,6,,2,6,,
3242,5,,1,3,3,6,2,11,6,3,1,3,,5,2,3,2,3,6,6,4,2,4,2,3,1,1,2,1,3,3,3,5,9,3,1,,1,
3243,2,,,,,,,1,1,3,2,,3,,,,,1,,2,5,,,2,,,,2,,1,,1,7,1,,,,,1
3244,11,16,15,11,14,16,19,16,21,26,17,17,15,15,14,13,11,20,19,17,35,10,16,8,12,18,12,9,11,10,11,8,15,18,16,15,12,7,6
3245,5,4,1,4,6,1,8,10,8,13,3,14,6,5,5,8,7,5,13,17,21,6,12,5,7,4,6,1,9,5,2,5,3,3,,4,,1,3
3246,6,3,2,7,4,2,8,9,5,9,2,9,2,6,3,3,7,4,8,15,13,4,7,1,6,3,5,-1,7,5,12,7,10,5,6,3,,2,3
3247,1,4,,,,,2,,1,1,1,1,,,,2,,,2,,6,,1,,,,1,,,1,2,,1,,1,,,,
3248,9,7,5,6,8,10,11,14,10,27,13,6,10,8,8,13,6,9,14,25,22,7,6,9,9,4,10,2,6,3,9,2,14,16,18,9,3,4,1
3249,10,3,8,4,4,4,8,6,7,14,7,7,8,9,4,4,3,6,10,14,10,5,2,7,3,4,3,5,6,5,9,6,9,16,8,5,3,3,5
3250,73,28,84,93,49,68,96,100,83,154,94,39,194,37,97,73,35,75,145,260,223,76,74,76,77,73,82,74,83,120,127,156,147,192,84,26,23,10,12
3251,,,,,,4,4,4,,,,,,,4,,,4,,,,,4,,,,,,,,,4,4,7,4,4,,,
3252,,,,,1,,,,1,1,,,1,,1,,,,,,4,,1,,,,,1,,,1,,,4,1,1,,,
3253,1,,9,,,,,8,2,,,,,,2,,,13,2,2,,,1,,8,,,2,,1,,2,1,,,2,,,1
3254,,,1,,,2,1,1,1,1,,1,1,,1,,2,,2,,2,,1,,,,,,,,,,1,6,1,2,,,1
3255,2,2,,2,,1,,1,2,1,,,,1,,,2,,1,6,1,,1,,,,,,,1,,2,2,2,4,,,1,3
3256,2,5,6,4,1,4,3,1,1,4,3,5,1,2,1,3,4,3,2,4,5,4,6,1,4,1,1,2,3,3,9,1,4,6,,1,4,1,
3257,,,2,,,4,1,4,,4,,,,,,,,,5,7,4,4,,,,2,2,,,,,2,4,12,2,,,2,
3258,14,25,36,41,28,46,50,56,85,67,37,19,17,20,29,32,31,28,43,68,56,54,20,7,23,18,38,92,32,21,42,41,67,59,34,33,32,9,18
3259,,,,,1,1,1,1,1,1,,,1,,2,2,2,,2,6,,,1,,1,1,1,1,,,,,,2,,,3,,1
3260,1,2,1,2,,1,1,1,2,1,1,1,1,,1,,1,,2,6,4,,1,1,,,,,,,1,1,2,6,2,,,,4
3261,,,,,,2,2,2,,2,,,,2,,2,1,2,,,1,4,,,,,,,,,,,1,4,2,,,,
3262,9,13,14,24,16,27,42,60,65,54,27,7,8,15,13,15,13,17,42,82,85,40,20,6,7,12,20,48,19,13,35,38,66,48,27,21,28,12,11
3263,2,7,8,9,5,18,23,36,41,27,12,5,3,7,4,6,2,9,22,37,32,18,7,3,4,9,8,20,7,6,19,31,48,15,20,5,12,5,5
3264,,,,,,1,1,7,2,6,2,,,1,,,1,,1,1,3,2,,,,,,1,,,,2,2,2,1,,,,
3265,,,3,,3,3,,,3,,,3,3,,9,3,,3,,,12,,,6,6,,,3,,,,,6,1,,,3,9,4
3266,4,16,12,12,,4,20,12,8,8,8,4,12,,12,8,4,8,16,20,8,8,8,4,4,4,12,,4,8,13,,33,20,4,8,8,,
3267,,1,2,4,1,2,5,2,1,,,1,,,,,,2,,3,1,1,1,,1,,,2,,,2,,4,2,,1,,,
3268,1,2,4,2,,8,3,5,2,5,1,,,1,3,,,1,1,1,5,1,,2,3,1,1,,,,,2,10,,,,2,,1
3269,,1,1,2,,,1,1,1,,,,,,2,,,,,,2,,1,,1,,3,,,,,,1,2,2,2,1,,
3270,2,7,3,8,8,4,11,3,5,2,4,,4,3,2,6,9,12,4,2,6,11,1,2,,4,8,10,3,2,,4,34,26,2,14,4,4,5
3271,2,7,3,8,9,4,11,3,5,2,4,,4,3,2,6,9,12,4,2,6,11,1,2,,4,6,10,3,2,,28,26,11,,4,4,2,1
3272,2,1,1,1,1,,1,2,,3,1,,1,,1,1,,1,2,2,,1,1,1,,1,1,4,1,2,,3,6,1,1,1,,2,1
3273,2,2,5,1,2,1,6,4,10,7,3,2,1,2,,6,2,3,3,28,16,9,,1,1,1,3,2,11,,5,7,17,27,6,6,6,2,
3274,2,2,8,2,2,1,7,4,8,9,6,2,1,2,,3,2,2,10,29,15,7,1,1,1,1,3,2,10,,6,13,21,9,3,6,6,2,
3275,24,26,19,28,20,45,68,86,119,106,34,10,10,19,20,25,13,27,61,115,125,58,27,16,13,19,31,80,27,22,63,69,110,69,76,38,24,10,28
3276,,1,-1,,,,,,,,,,,,,1,20,,,1,,,,,,,,,2,,,,2,2,1,8,,,2
3277,,,,2,,,,,,,,,1,,,,1,1,2,3,3,,,,,,,,,,1,2,3,,1,,1,,
3278,,,1,2,,,1,3,2,2,,,1,,,,3,,7,4,10,2,,,2,,,1,,,2,2,9,2,5,2,1,,
3279,1,,1,,,7,5,6,,3,,1,,,2,,1,2,,11,4,2,1,2,,2,,,,3,1,6,2,4,3,,6,2,3
3280,1,,1,,,5,1,3,,1,,1,1,,2,,,1,,8,1,1,1,1,3,2,,3,2,3,3,1,2,10,3,,11,5,3
3281,,,3,,,6,3,2,,2,,2,,,4,4,1,1,,9,3,1,1,2,3,3,,2,3,3,4,7,1,5,3,,4,3,1
3282,1,1,2,1,,9,1,5,2,3,,,,,3,,,1,2,3,4,3,1,,,,,1,,1,,1,8,-1,,,,,
3283,,1,2,2,,1,2,2,4,4,1,,,3,2,,,,1,,2,3,,1,,1,,1,2,,1,3,3,1,,1,1,2,3
3284,,8,4,4,,,4,8,4,,8,,8,,,,4,,4,,,,6,4,12,4,8,4,8,,,8,2,8,,,4,,
3285,1,1,,4,1,1,1,,,1,1,,,,1,1,1,,1,,1,,,,,,,1,1,,1,3,1,2,1,1,3,2,1
3286,,,3,1,,1,3,,1,,1,1,,2,2,2,,2,,,2,2,,1,1,1,2,2,1,1,1,1,4,1,4,2,,,2
3287,,2,,,,,8,1,3,2,,,2,,5,,,2,,2,,3,,,2,,1,1,,1,2,,2,2,,2,,2,
3288,,,1,,,,,,2,,1,,,,1,1,,,,,1,,,,,,,,1,1,,,,,,,,1,
3289,,,1,2,,,,2,1,1,,1,,3,1,,,2,1,2,1,-1,,1,,1,2,4,1,,,1,1,4,,2,2,,
3290,,2,2,2,,,2,2,6,1,,1,3,1,4,,7,,1,,2,2,2,1,,1,3,,,,,,1,2,3,1,2,2,
3291,4,14,12,12,14,12,14,8,15,30,16,9,6,14,12,16,20,24,18,22,12,2,8,2,2,2,12,10,8,5,21,6,12,15,10,6,14,6,8
3292,1,,1,,,,2,,,,1,,,1,1,,,1,,,,1,1,,,,,1,,1,,,1,,,2,,,
3293,,2,,2,1,1,,1,6,,,,,,,,,,1,1,,1,,,,,,,,1,,1,1,2,,1,1,,
3294,,1,,,1,2,,,,,,,1,,,1,,,1,1,,,,,,,1,-1,1,,,1,,2,,1,1,2,
3295,,,5,3,,,3,,,5,1,1,1,2,,,1,,,10,2,4,5,-1,1,,5,,4,,4,5,9,6,3,2,2,,
3296,,,,,,1,,2,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,1,,,
3297,,4,6,4,4,2,,8,1,5,,1,3,2,3,3,,4,1,3,5,5,,4,,,,,,,2,3,5,4,2,6,,5,3
3298,12,3,,,3,,6,3,12,3,,,8,9,,9,,6,12,6,12,2,11,3,6,,3,,3,3,,,,,,,11,,
3299,,,,1,,,1,,,8,1,,3,,,1,,,,,5,,,,,,,1,,,1,,,,,1,2,,1
3300,3,6,6,6,3,4,9,5,3,9,5,3,2,5,10,2,2,6,5,10,14,6,3,,,2,4,4,4,3,4,6,4,9,4,8,6,1,2
3301,,1,1,1,,3,4,3,3,1,2,1,2,5,3,5,,1,1,1,1,2,,,,2,2,2,,2,,5,5,,3,4,2,,
3302,66,110,122,113,98,112,181,132,176,213,128,89,136,115,101,175,94,120,193,118,381,237,162,95,126,102,139,250,267,238,193,144,308,214,113,129,62,51,75
3303,4,2,8,6,2,4,8,6,4,10,4,4,,2,8,6,,2,4,12,2,2,,2,,6,4,4,6,4,2,4,9,7,3,4,4,,2
3304,1,3,4,3,2,4,4,3,3,11,3,2,1,3,9,4,3,3,2,5,4,6,5,,,1,3,2,4,3,8,3,5,7,4,4,4,1,1
3305,8,8,8,8,10,12,50,40,20,46,15,10,10,11,13,7,12,42,40,56,52,30,8,6,3,4,38,6,12,8,39,43,57,32,19,9,8,4,4
3306,4,8,6,6,4,8,8,8,6,20,5,4,2,6,14,6,6,6,6,11,8,11,8,,,2,6,4,10,4,17,8,12,15,9,10,7,5,4
3307,28,34,10,,,6,12,4,13,55,18,6,8,,,19,2,,30,27,14,14,,,,,,5,2,48,22,32,20,57,,,,,
3308,9,29,13,12,21,21,26,49,24,59,68,14,,28,26,31,26,9,19,73,42,34,20,3,4,6,20,18,24,18,38,29,70,49,20,7,27,12,13
3309,9,29,17,12,21,19,26,41,29,56,74,15,,23,26,31,26,9,21,77,46,44,18,5,9,6,20,18,24,26,37,30,73,47,24,7,22,12,23
3310,9,27,13,12,21,15,26,33,20,58,70,15,,25,26,31,26,9,21,69,41,34,18,3,9,5,20,17,24,21,34,28,66,38,15,7,24,13,21
3311,6,12,6,6,6,6,12,6,,18,,,6,,12,,6,,6,6,12,,,,,6,,,18,6,6,1,6,7,6,6,4,,
3312,5,4,4,3,5,6,24,22,12,20,7,6,6,5,9,3,7,22,19,26,27,17,3,2,4,2,18,6,6,5,18,22,19,20,13,4,5,1,3
3313,,2,1,,1,,5,5,7,9,4,3,3,1,1,2,3,2,8,6,11,7,,1,,1,3,1,,1,4,7,17,11,4,,3,,1
3314,9,29,19,12,21,15,26,34,26,43,69,15,,22,26,34,26,9,20,75,38,34,20,5,9,6,20,17,24,24,45,27,67,52,20,5,19,12,23
3315,11,47,64,65,19,36,59,55,38,99,37,15,22,36,95,31,33,45,27,81,104,67,33,8,10,25,38,33,53,36,36,60,101,89,56,52,31,12,29
3316,11,48,64,65,21,38,59,54,39,101,41,15,21,35,90,31,23,45,27,78,104,67,33,8,8,23,40,35,55,35,40,64,107,90,40,50,13,14,24
3317,11,46,64,65,21,31,59,54,39,99,41,15,20,35,93,31,23,43,27,76,103,78,32,8,8,22,42,35,49,40,38,54,115,83,38,50,15,14,22
3318,11,47,56,67,21,39,59,51,34,103,41,15,20,38,99,31,23,45,32,78,104,73,33,8,14,30,44,35,54,39,35,55,81,44,23,32,31,36,26
3319,11,37,62,63,21,35,59,48,32,98,41,15,22,35,103,31,23,44,32,78,100,85,33,8,7,20,40,35,49,40,41,146,108,87,66,57,36,14,25
