Артикул,01.06.2020,01.07.2020,01.08.2020,01.09.2020,01.10.2020,01.11.2020,01.12.2020,01.01.2021,01.02.2021,01.03.2021,01.04.2021,01.05.2021,01.06.2021,01.07.2021,01.08.2021,01.09.2021,01.10.2021,01.11.2021,01.12.2021,01.01.2022,01.02.2022,01.03.2022,01.04.2022,01.05.2022,01.06.2022,01.07.2022,01.08.2022,01.09.2022,01.10.2022,01.11.2022,01.12.2022,01.01.2023,01.02.2023,01.03.2023,01.04.2023,01.05.2023,01.06.2023,01.07.2023,01.08.2023
92,99,32,5,17,10,16,16,30,78,33,84,101,91,31,16,8,2,60,12,70,72,32,57,95,65,25,14,4,1,4,58,94,24,43,76,607,146,50,24
93,1,,,,,,2,,3,46,7,3,3,,1,2,1,,2,7,8,,3,2,4,2,2,,1,2,,10,,8,8,10,6,1,
94,1802,690,87,324,,,80,150,218,426,1446,1285,1994,1027,730,78,10,504,104,206,358,242,991,1154,996,1159,256,60,30,,1000,1442,72,1340,339,84,352,315,144
95,,2,1,,,1,1,4,2,6,,5,1,1,3,1,,,2,2,6,,1,4,1,,,,4,4,1,2,6,6,5,,7,1,1
96,,10,,5,15,,8,2,,9,10,2,,,2,,,,2,8,10,10,,,2,4,,2,,,2,2,18,13,,,2,80,2
97,2,5,,2,2,2,2,4,5,6,10,,8,4,,6,8,2,2,16,8,4,6,4,2,,3,-1,2,3,24,5,3,,3,3,24,2,4
98,35,88,32,30,4,15,,4,36,30,23,82,127,22,24,62,21,,30,43,95,6,2,78,25,44,46,34,4,,11,14,7,69,112,42,4,30,43
99,105,46,36,15,34,10,92,72,139,105,30,319,40,84,54,5,12,156,12,102,106,250,60,36,4,58,32,10,24,,52,224,90,96,56,2,102,44,152
100,41,16,6,,20,27,,12,40,4,22,46,12,6,7,16,8,1,24,41,58,7,26,12,14,30,86,,,18,27,22,13,45,14,47,112,110,32
101,7,,,70,,,10,24,34,,14,60,39,108,,10,4,,,,,12,58,57,38,16,,,,70,140,5,30,52,,6,90,18,
102,1,3,4,4,3,3,2,1,2,4,2,1,,1,4,1,1,1,2,4,4,4,3,,1,2,3,,4,3,3,2,3,4,,3,3,1,2
103,6,3,3,15,30,9,27,,9,9,6,9,18,6,6,21,15,33,24,9,33,,3,12,,9,6,24,21,3,18,3,32,34,6,15,9,27,4
104,,,1,1,,,,,,,,1,,,,1,2,1,1,,1,,2,,,,,1,1,,,,1,,,1,1,1,
105,,,,,,,4,,15,,43,,24,,,10,,,,10,,,14,6,9,,7,6,,,,,4,4,,21,,30,2
106,2,89,,,2,4,3,,29,70,11,6,30,31,12,32,2,8,45,2,7,,5,2,128,61,34,10,,,70,18,,2,108,28,27,,
107,,,10,,,,80,40,80,20,30,,69,20,,,,,,,,,50,,20,140,,,,,20,,10,20,20,,100,,
108,45,39,1,,,,2,25,1,,6,21,47,425,1,17,,,6,403,37,,,28,45,171,40,,,,,308,34,200,269,147,4,,2
109,2,,6,2,4,2,2,18,22,18,12,2,4,2,,9,6,9,6,14,21,6,8,,,3,6,2,2,4,6,10,17,20,3,8,10,,2
110,23,18,12,28,2,,4,9,57,18,11,4,2,8,20,20,26,,33,1,1,4,19,10,22,2,,9,4,4,20,2,2,49,54,2,26,,6
111,6,3,,,,,8,2,6,27,,,2,,,,,,1,7,28,36,,,,1,,,,4,,6,22,11,11,25,2,,
112,5,4,2,,2,,2,8,,5,5,,4,2,2,,8,14,6,9,6,2,,,2,,3,1,,,,,,2,,,,,
113,,,1,,,1,2,1,3,,4,,,,4,,,,2,7,2,,,,1,,,,,,1,,,4,,,,,
114,,,,,,,6,,,12,,,4,,,,,,,,10,4,,,,,,,,,6,,2,4,6,4,,,
115,,10,9,9,,,11,13,6,4,6,,,,1,,2,4,2,19,4,4,,,,,,6,,,,1,10,15,4,6,,,
116,,,,,,,,,,,,,,,,,,,,1,,1,1,,,3,,,1,,,,1,1,,1,,,
117,5,2,,,,2,,,,,,,2,,,2,,,,1,,,,,,1,,,2,,,,,2,1,,4,1,
118,,10,,,,,,,4,8,10,,,4,,,,,,8,,,,8,,,,,,,,,,14,8,12,6,4,
119,,237,1,71,,,,10,41,150,,186,,,24,3,,,10,,50,3,,,,,,22,,,,114,30,59,,,,,12
120,,,11,1,1,10,25,35,32,30,10,,,5,,,3,,41,,,25,,4,,,5,,,,10,15,69,30,,5,15,10,22
121,,,,,6,,,,,7,,,,,,,,7,10,,,,,1,,,,,7,7,,,,,,22,,,
122,,50,7,10,90,34,,,,,40,2,,86,62,10,40,74,,,,,,,,,,10,,,10,,213,29,,,24,2,
123,8,,,,,,16,,8,,,8,8,,,8,,,31,8,16,16,,32,,,8,8,,8,,8,,8,8,,,,
124,,5,43,20,1,,,,60,9,,,10,,18,33,7,,,1,,20,,,,,30,,10,,,,4,,140,,,,30
125,,,,,,,,,,,,,,,4,4,,,2,,,,,,,,,,2,8,10,,,,,,,4,13
126,5,,14,41,,,18,,36,,,,,28,10,25,21,6,18,8,17,,4,,,,77,6,6,6,8,11,,8,6,,2,,39
127,,2,1,1,,,,,,,,4,,,,,2,,,,,,,,,,,,,2,,2,,,2,4,,,
128,,18,18,,,,,,36,30,18,,1,,,,,,2,,,,3,,,,,1,,,36,,5,,,6,,,6
129,,19,8,4,,1,4,3,8,3,,,3,8,3,6,,3,9,,14,3,11,,3,8,3,,,,8,2,,,16,8,20,,
130,,,,,,,,,,,,,3,,3,,,5,,,,,6,,,,,,,6,6,6,,,6,,,,
131,1,4,,,,,,,,,,,4,16,,,,,,,,,,,,,,2,,,,,,,26,20,27,7,15
132,18,6,,8,,8,6,,,,,8,,,,12,,14,10,14,20,,36,12,,6,6,,,6,,,,10,10,,12,,12
133,,34,10,5,,15,5,10,30,,12,4,4,,78,,,2,8,5,5,,4,,,,,,,,,60,30,35,,5,10,,
134,,60,791,140,60,110,384,113,132,144,82,44,1,10,295,307,,195,52,165,190,120,,1,,,310,125,14,183,250,160,40,,230,30,,,400
135,,6,6,6,,6,,6,,,,6,,6,,,,6,,6,,,,,,,6,12,,,,,6,4,,6,,,
136,,,50,-24,10,40,70,157,-13,255,-197,,,,20,299,,,,140,129,159,,,,,40,180,2,,10,210,118,,,,50,,30
137,20,8,,,,,8,,4,,8,4,8,12,,1,,,,4,,,8,4,12,12,4,4,,,,,,4,4,8,12,4,
138,,20,1,3,,28,,16,64,22,1,,11,,58,6,,4,,15,,,,,,,8,,,1,,,15,35,,137,,11,25
139,,1,,,,6,6,18,,,,,,,6,6,,,6,,6,,,,,,,,,6,4,,,8,,,6,,
140,,3,1,10,,44,3,,20,,,,,6,10,,10,,,,15,,,,,,,5,,,10,,50,67,,,5,,
141,10,,200,136,30,,130,78,52,168,188,190,10,,156,179,,20,,5,160,60,,,,,82,312,,,,54,70,90,,110,,352,639
142,16,8,,,,,8,,,,8,4,8,12,,,,,,8,,,8,4,12,14,4,4,,,,,,4,4,8,12,4,
143,,49,99,17,,52,15,59,45,22,15,11,6,2,74,50,11,10,10,12,57,48,10,1,,,9,4,6,22,5,10,32,38,13,20,32,30,94
144,4,159,60,34,3,36,,102,308,146,37,26,16,5,184,52,10,2,56,43,211,14,20,77,,,44,2,6,,5,10,135,97,12,34,20,92,148
